crop_category,soil_category,rainfall_category,Pathway,NH4_load,P_load
3.0,2,5,0,0.0001834459014969,3.637825571103603e-05
3.0,2,5,1,1.9440680170710868e-05,9.34289416407988e-06
4.0,0,0,0,,9.78618527478496e-07
4.0,0,0,1,1.601696569367805e-06,1.0786416069223175e-06
4.0,0,1,0,,1.6213815922189502e-06
4.0,0,1,1,1.669499768191025e-06,1.1489739487291089e-06
4.0,0,2,0,,2.82543495025319e-06
4.0,0,2,1,3.322278492651113e-06,2.23034974309474e-06
4.0,0,3,0,,4.96524486527562e-06
4.0,0,3,1,5.287431122985208e-06,3.513793485763857e-06
4.0,0,4,0,,7.45181646805206e-06
4.0,0,4,1,7.673062827773521e-06,5.031668116445405e-06
4.0,0,5,0,,1.18255502750198e-05
4.0,0,5,1,1.3590356519143574e-05,8.371215748092306e-06
4.0,1,0,0,,9.40666597817153e-07
4.0,1,0,1,3.577870383915273e-06,2.197341848189466e-06
4.0,1,1,0,,1.51959421584804e-06
4.0,1,1,1,2.640859652995572e-06,1.7399324673458971e-06
4.0,1,2,0,,2.61636617794442e-06
4.0,1,2,1,4.0977085279522944e-06,2.737333608019736e-06
4.0,1,3,0,,4.524807501065311e-06
4.0,1,3,1,6.864582176214394e-06,4.432604111268736e-06
4.0,1,4,0,,6.806888706388111e-06
4.0,1,4,1,1.329228831370729e-05,7.829472216797881e-06
4.0,1,5,0,,1.12691140507083e-05
4.0,1,5,1,1.67655302146565e-05,9.523656333819269e-06
4.0,2,0,0,9.703527144404996e-06,4.548185204787806e-06
4.0,2,0,1,1.782506011747588e-06,1.251808830722125e-06
4.0,2,1,0,1.5817910560823906e-05,6.731638132064329e-06
4.0,2,1,1,2.006378500709008e-06,1.367868473534944e-06
4.0,2,2,0,2.4378977804388666e-05,9.809783660325795e-06
4.0,2,2,1,2.7103211432946843e-06,1.897358819844766e-06
4.0,2,3,0,4.295349882479473e-05,1.591321541945584e-05
4.0,2,3,1,3.900761023276349e-06,2.714672102486284e-06
4.0,2,4,0,6.559462126112328e-05,2.2478611493787237e-05
4.0,2,4,1,5.564417576910913e-06,3.828861679890176e-06
4.0,2,5,0,0.0001054570510378,3.178582783938534e-05
4.0,2,5,1,8.351375248824933e-06,5.531999287220787e-06
5.0,0,0,0,,2.29181030312141e-06
5.0,0,0,1,3.766055643178408e-06,1.9156057705948296e-06
5.0,0,1,0,,3.11438515002312e-06
5.0,0,1,1,3.215435292030191e-06,1.7899670520450257e-06
