OPCAT_ID,crop_category,livestock_category,excreta_per_ha
3110,-1,5,0.45169520847622174
3110,0,1,0.0
3110,0,2,0.0
3110,0,3,0.0
3110,0,4,1.792280782999496
3110,0,5,0.0
3110,4,1,14.246217271425811
3110,4,2,17.416947938266368
3110,4,3,0.8643239294363324
3110,4,4,8.961403914997497
3110,4,5,0.45169520847622174
3111,-1,1,0.0
3111,-1,2,0.0
3111,-1,3,0.06344401720709583
3111,-1,4,0.0
3111,-1,5,0.15166268178367442
3111,0,1,0.0
3111,0,2,0.0
3111,0,3,0.0
3111,0,4,1.509679944109291
3111,0,5,0.0
3111,4,1,5.969912685872317
3111,4,2,1.955101763538362
3111,4,3,0.06344401720709583
3111,4,4,7.54839972054651
3111,4,5,0.15166268178367442
3112,-1,1,0.0
3112,-1,2,0.0
3112,-1,3,0.0
3112,-1,4,0.0
3112,-1,5,0.15433070130292423
3112,0,1,0.0
3112,0,2,0.0
3112,0,3,0.0
3112,0,4,0.09700741270083879
3112,0,5,0.0
3112,4,1,4.671051621042064
3112,4,2,0.09563910887715442
3112,4,3,0.0
3112,4,4,0.48503706350419523
3112,4,5,0.15433070130292423
3113,-1,1,0.0
3113,-1,2,0.0
3113,-1,3,0.0501877966694945
3113,-1,4,0.0
3113,-1,5,2.2810313313186237
3113,0,1,0.0
3113,0,2,0.0
3113,0,3,0.0
3113,0,4,0.6395090294768336
3113,0,5,0.0
3113,4,1,3.6544241760815144
3113,4,2,1.422797612265563
3113,4,3,0.0501877966694945
3113,4,4,3.197545147384183
3113,4,5,2.2810313313186237
3114,-1,1,0.0
3114,-1,2,0.0
3114,-1,3,0.5842188625301171
3114,-1,4,0.0
3114,-1,5,0.36428440525367933
3114,0,1,0.0
3114,0,2,0.0
3114,0,3,0.0
3114,0,4,0.9690633648046884
3114,0,5,0.0
3114,4,1,11.27120483342326
3114,4,2,9.679236453483043
3114,4,3,0.5842188625301171
3114,4,4,4.845316824023487
3114,4,5,0.36428440525367933
3116,-1,1,0.0
3116,-1,2,0.0
3116,-1,3,0.12736441991660413
3116,-1,4,0.0
3116,-1,5,0.4955022301264218
3116,0,1,0.0
3116,0,2,0.0
3116,0,3,0.0
3116,0,4,0.8887154082544791
3116,0,5,0.0
3116,4,1,5.010456254962041
3116,4,2,2.8674122906995647
3116,4,3,0.12736441991660413
3116,4,4,4.443577041272401
3116,4,5,0.4955022301264218
3117,-1,1,0.0
3117,-1,2,0.0
3117,-1,3,0.4904640981953245
3117,-1,4,0.0
3117,-1,5,0.006190599983926823
3117,0,1,0.0
3117,0,2,0.0
3117,0,3,0.0
3117,0,4,0.2886912905053939
3117,0,5,0.0
3117,4,1,7.271983078033606
3117,4,2,0.6618900107256998
3117,4,3,0.4904640981953245
3117,4,4,1.4434564525270255
3117,4,5,0.006190599983926823
3118,-1,1,0.0
3118,-1,2,0.0
3118,-1,3,0.06115812971296463
3118,-1,4,0.0
3118,-1,5,0.5148800090761526
3118,0,1,0.0
3118,0,2,0.0
3118,0,3,0.0
3118,0,4,0.141339679363484
3118,0,5,0.0
3118,4,1,11.030397815367188
3118,4,2,1.0408651379490752
3118,4,3,0.06115812971296463
3118,4,4,0.7066983968174091
3118,4,5,0.5148800090761526
3120,-1,1,0.0
3120,-1,2,0.0
3120,-1,3,0.16002272290281597
3120,-1,4,0.0
3120,-1,5,0.5289463060930709
3120,0,1,0.0
3120,0,2,0.0
3120,0,3,0.0
3120,0,4,0.6283669062634236
3120,0,5,0.0
3120,4,1,8.509040948669378
3120,4,2,20.80933283521374
3120,4,3,0.16002272290281597
3120,4,4,3.141834531317133
3120,4,5,0.5289463060930709
3121,-1,1,0.0
3121,-1,2,0.0
3121,-1,3,0.06394473405989068
3121,-1,4,0.0
3121,-1,5,0.014864558604163363
3121,0,1,0.0
3121,0,2,0.0
3121,0,3,0.0
3121,0,4,0.4556594600824514
3121,0,5,0.0
3121,4,1,4.952464958777398
3121,4,2,6.714375823529176
3121,4,3,0.06394473405989068
3121,4,4,2.2782973004122837
3121,4,5,0.014864558604163363
3123,-1,1,0.0
3123,-1,2,0.0
3123,-1,3,0.17682903472150305
3123,-1,4,0.0
3123,-1,5,0.37355500277155906
3123,0,1,0.0
3123,0,2,0.0
3123,0,3,0.0
3123,0,4,0.808547139126905
3123,0,5,0.0
3123,4,1,11.439820153614633
3123,4,2,4.21778953237456
3123,4,3,0.17682903472150305
3123,4,4,4.04273569563453
3123,4,5,0.37355500277155906
3124,-1,1,0.0
3124,-1,2,0.0
3124,-1,3,0.05581023584153246
3124,-1,4,0.0
3124,-1,5,0.32618956490302337
3124,0,1,0.0
3124,0,2,0.0
3124,0,3,0.0
3124,0,4,0.8144447390588201
3124,0,5,0.0
3124,4,1,7.748573764329038
3124,4,2,12.895796519208396
3124,4,3,0.05581023584153246
3124,4,4,4.0722236952940625
3124,4,5,0.32618956490302337
3125,-1,1,0.0
3125,-1,2,0.0
3125,-1,3,1.6123109202664623
3125,-1,4,0.0
3125,-1,5,0.0509655605032337
3125,0,1,0.0
3125,0,2,0.0
3125,0,3,0.0
3125,0,4,0.549112020844323
3125,0,5,0.0
3125,4,1,17.215321487042928
3125,4,2,12.40908656802283
3125,4,3,1.6123109202664623
3125,4,4,2.745560104221593
3125,4,5,0.0509655605032337
3126,-1,1,0.0
3126,-1,2,0.0
3126,-1,3,2.15074739446464
3126,-1,4,0.0
3126,-1,5,0.626503318751073
3126,0,1,0.0
